               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11541,            0.038563,            0.040972,           0.0012168,             0.15341,           0.0015775,          0.00050482,             0.11236,            0.026638,            0.041391,              0.0964,              0.0004,              0.0004
                   1,             0.11028,            0.035268,            0.039976,            0.002709,             0.31932,           0.0080108,           0.0019203,             0.10595,            0.023167,            0.040695,            0.091891,          0.00089109,          0.00089109
                   2,             0.10686,            0.034319,            0.038968,           0.0026192,             0.31932,            0.013483,           0.0034313,             0.10678,            0.020802,            0.039972,            0.087372,           0.0013723,           0.0013723
                   3,            0.094904,            0.031935,            0.040216,           0.0029893,             0.36477,            0.014056,           0.0051234,             0.10179,            0.020832,            0.040631,            0.082844,           0.0018436,           0.0018436
                   4,            0.093531,            0.034728,            0.037225,           0.0032202,             0.40644,            0.011064,           0.0032493,            0.096657,            0.020418,            0.038663,            0.078305,            0.002305,            0.002305
                   5,             0.09174,            0.032371,            0.036625,           0.0028868,             0.37311,            0.028714,           0.0076862,            0.095935,            0.019726,            0.038516,            0.073756,           0.0027564,           0.0027564
                   6,            0.086786,            0.033046,            0.035997,           0.0034882,             0.43674,            0.018076,           0.0057219,            0.095766,            0.019079,             0.03924,            0.069198,            0.003198,            0.003198
                   7,            0.078866,            0.030499,            0.029772,           0.0031116,             0.38826,            0.031725,           0.0088814,            0.095627,            0.018358,            0.039011,             0.06463,           0.0036297,           0.0036297
                   8,            0.081064,            0.032584,            0.030558,            0.017727,             0.17235,            0.021355,           0.0089707,            0.093943,            0.018356,            0.038818,            0.060052,           0.0040515,           0.0040515
                   9,            0.078797,            0.030873,             0.03247,              0.0328,             0.24432,            0.052734,            0.018412,            0.094521,            0.017445,            0.038132,            0.055463,           0.0044634,           0.0044634
                  10,            0.071107,            0.031456,            0.028167,             0.52417,             0.13263,              0.1021,            0.031835,            0.091807,             0.01722,            0.036502,            0.050865,           0.0048654,           0.0048654
                  11,             0.07278,            0.032497,            0.026796,             0.42256,             0.14205,            0.076474,            0.028617,            0.090006,              0.0175,            0.037161,            0.046257,           0.0052575,           0.0052575
                  12,             0.07441,            0.033034,            0.027508,             0.43176,             0.10795,             0.05467,            0.017209,            0.092247,            0.017174,            0.037994,             0.04164,           0.0056397,           0.0056397
                  13,             0.07501,            0.030222,            0.026469,             0.39603,             0.10227,            0.033771,            0.016103,            0.090746,            0.017366,            0.038434,            0.037012,            0.006012,            0.006012
                  14,            0.073841,            0.026492,            0.026029,             0.45439,              0.1572,             0.10795,            0.043332,            0.088148,            0.017353,            0.036118,            0.032374,           0.0063744,           0.0063744
                  15,            0.071582,            0.031622,            0.024893,             0.49721,             0.15013,              0.1001,            0.032908,            0.087844,            0.017452,            0.036346,            0.027727,           0.0067268,           0.0067268
                  16,            0.060763,            0.025598,            0.024159,             0.63091,             0.11196,             0.12262,            0.045154,            0.086861,            0.017357,            0.035257,            0.023069,           0.0070694,           0.0070694
                  17,            0.070226,            0.029505,             0.02316,             0.72465,              0.1261,             0.14105,            0.061813,            0.084085,            0.017921,            0.035898,            0.018402,           0.0074021,           0.0074021
                  18,             0.06453,            0.031818,            0.025414,             0.60218,             0.17086,             0.13479,            0.062635,             0.08333,            0.018013,            0.035504,            0.013725,           0.0077249,           0.0077249
                  19,            0.066562,            0.025775,            0.026743,             0.83119,            0.090909,             0.11214,            0.043806,            0.085592,            0.017902,            0.036301,           0.0090378,           0.0080378,           0.0080378
                  20,            0.073966,            0.023599,            0.022626,             0.88055,            0.090909,             0.13385,            0.047856,            0.083677,            0.017944,            0.035605,             0.00802,             0.00802,             0.00802
                  21,            0.065781,            0.026383,            0.023117,             0.48481,             0.15152,             0.14962,            0.054851,            0.081186,            0.018574,            0.034955,             0.00802,             0.00802,             0.00802
                  22,            0.059998,              0.0294,            0.021519,             0.52978,             0.17235,             0.17068,            0.057582,            0.080286,            0.018929,            0.034314,            0.007921,            0.007921,            0.007921
                  23,             0.06206,            0.028505,            0.017346,             0.53452,             0.20833,             0.20893,            0.089847,            0.082298,            0.018951,            0.033325,            0.007822,            0.007822,            0.007822
                  24,            0.059165,            0.022914,            0.017671,              0.6258,             0.24432,             0.26636,             0.09311,            0.081743,            0.019871,            0.033426,            0.007723,            0.007723,            0.007723
