               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.066124,             0.03227,            0.019445,             0.56885,             0.23167,             0.17079,             0.10334,            0.079378,            0.028355,             0.01628,            0.008845,            0.008845,            0.008845
                  37,            0.058018,            0.033686,            0.012724,             0.54952,             0.21389,             0.15751,            0.094352,            0.080817,            0.028435,            0.015951,            0.008812,            0.008812,            0.008812
                  38,            0.057141,            0.036114,            0.014149,             0.59038,             0.20944,             0.18416,             0.10372,             0.07487,             0.02932,            0.016088,            0.008779,            0.008779,            0.008779
                  39,            0.056805,            0.038202,            0.012197,             0.73462,             0.22278,             0.19554,              0.1153,            0.073745,            0.029472,            0.015818,            0.008746,            0.008746,            0.008746
                  40,              0.0611,            0.037904,            0.014344,             0.65015,               0.205,             0.20043,             0.10851,            0.075429,             0.02932,            0.016219,            0.008713,            0.008713,            0.008713
                  41,            0.060444,            0.043406,            0.011436,             0.66718,             0.18278,             0.18869,             0.11687,            0.071579,            0.030655,            0.016063,             0.00868,             0.00868,             0.00868
                  42,            0.057793,            0.038072,            0.012545,              0.7306,               0.205,             0.21731,             0.11777,            0.069068,             0.03138,            0.016317,            0.008647,            0.008647,            0.008647
                  43,            0.051599,            0.034508,            0.010997,             0.68338,             0.22889,             0.23063,             0.15671,            0.069686,            0.030914,             0.01558,            0.008614,            0.008614,            0.008614
                  44,             0.05846,             0.03299,            0.012105,             0.54123,             0.28667,             0.20698,             0.11725,            0.073485,            0.029594,            0.015605,            0.008581,            0.008581,            0.008581
                  45,            0.058361,            0.038306,             0.01342,             0.62216,             0.23333,              0.2304,             0.12988,            0.070613,            0.030548,            0.014658,            0.008548,            0.008548,            0.008548
                  46,            0.053141,            0.035588,            0.012812,             0.63633,             0.24884,             0.23223,             0.13622,            0.069717,             0.03067,            0.014275,            0.008515,            0.008515,            0.008515
                  47,            0.052328,            0.038476,            0.011518,             0.63134,             0.24667,             0.23231,             0.14082,            0.071891,            0.029793,            0.014719,            0.008482,            0.008482,            0.008482
                  48,             0.05404,               0.036,             0.01247,             0.65445,             0.24316,             0.23498,             0.15005,            0.068551,            0.031151,            0.014262,            0.008449,            0.008449,            0.008449
                  49,             0.05269,             0.03227,            0.012033,             0.68633,             0.22889,             0.26325,             0.13711,            0.067525,            0.031578,            0.013463,            0.008416,            0.008416,            0.008416
                  50,             0.05097,            0.037265,           0.0093528,             0.72149,             0.24222,             0.26967,              0.1697,            0.066932,            0.031914,            0.013685,            0.008383,            0.008383,            0.008383
                  51,            0.048715,            0.038134,             0.01309,              0.7142,             0.22444,             0.23931,             0.16791,            0.069651,             0.03299,            0.013725,             0.00835,             0.00835,             0.00835
                  52,            0.053226,             0.03761,            0.012391,              0.7534,             0.21101,             0.22953,             0.11968,            0.076627,            0.032684,            0.013775,            0.008317,            0.008317,            0.008317
                  53,            0.056047,            0.036279,            0.012389,             0.75814,             0.20409,               0.241,             0.16019,            0.078236,            0.030693,            0.013062,            0.008284,            0.008284,            0.008284
                  54,            0.052198,            0.038353,            0.010157,             0.75059,             0.20667,             0.24362,             0.15065,            0.077486,            0.031189,            0.012983,            0.008251,            0.008251,            0.008251
                  55,            0.049256,            0.035154,            0.011518,             0.82634,             0.19778,             0.24567,             0.15469,            0.080366,              0.0308,            0.012365,            0.008218,            0.008218,            0.008218
                  56,            0.054523,            0.035231,           0.0091656,             0.81794,             0.20222,             0.23931,             0.14767,            0.078358,            0.031143,            0.012621,            0.008185,            0.008185,            0.008185
                  57,            0.055981,            0.032759,            0.011799,               0.888,             0.20004,             0.24006,             0.15546,            0.082653,            0.030815,            0.012816,            0.008152,            0.008152,            0.008152
                  58,            0.048914,            0.038201,           0.0089803,             0.90297,             0.19238,             0.22703,             0.15682,            0.088355,            0.029324,            0.013303,            0.008119,            0.008119,            0.008119
                  59,            0.046895,             0.03187,            0.010273,             0.67383,             0.20222,             0.22414,              0.1421,            0.078085,            0.030602,            0.013748,            0.008086,            0.008086,            0.008086
                  60,            0.054344,            0.033305,           0.0089288,             0.83231,             0.19212,             0.24335,             0.14578,            0.075945,            0.031693,            0.013618,            0.008053,            0.008053,            0.008053
                  61,            0.051348,            0.031319,           0.0096986,             0.79325,             0.18889,             0.22867,             0.14872,            0.075447,            0.032509,            0.013985,             0.00802,             0.00802,             0.00802
                  62,            0.046652,            0.035862,           0.0081472,             0.86868,             0.18862,             0.23357,             0.15789,            0.076643,            0.032272,            0.014069,            0.007987,            0.007987,            0.007987
                  63,            0.047025,            0.035839,             0.01194,             0.81516,             0.20667,             0.21935,             0.14236,            0.081235,            0.034576,            0.017081,            0.007954,            0.007954,            0.007954
                  64,            0.054593,            0.040167,           0.0085892,             0.67923,             0.21556,             0.20988,             0.13193,            0.086176,            0.033825,            0.016967,            0.007921,            0.007921,            0.007921
                  65,            0.052437,            0.033055,            0.011244,             0.82218,             0.21111,             0.21403,             0.15866,            0.085877,            0.033585,            0.017665,            0.007888,            0.007888,            0.007888
                  66,            0.048128,            0.029044,           0.0097044,             0.77244,             0.20667,             0.22492,             0.15767,            0.082456,            0.033119,            0.017422,            0.007855,            0.007855,            0.007855
                  67,            0.044417,            0.028006,           0.0081892,             0.77295,             0.21556,             0.23434,             0.16334,             0.08755,            0.031307,            0.017294,            0.007822,            0.007822,            0.007822
                  68,            0.051551,            0.034145,           0.0087736,             0.83704,             0.19778,             0.25412,             0.17121,            0.073169,            0.033615,             0.01612,            0.007789,            0.007789,            0.007789
                  69,            0.052954,            0.032735,            0.010788,              0.8172,             0.19333,             0.24671,             0.16414,            0.080301,            0.033752,            0.015848,            0.007756,            0.007756,            0.007756
                  70,            0.049056,            0.034892,           0.0077248,             0.80878,              0.1945,              0.2561,             0.16965,            0.079232,             0.03521,             0.01666,            0.007723,            0.007723,            0.007723
                  71,            0.044431,            0.027216,           0.0089258,             0.82307,             0.19338,             0.22087,             0.14134,            0.093884,            0.032398,            0.018434,             0.00769,             0.00769,             0.00769
                  72,             0.05211,            0.029153,           0.0090754,             0.80986,             0.19302,             0.21604,              0.1469,            0.085409,              0.0354,            0.017237,            0.007657,            0.007657,            0.007657
                  73,            0.048281,            0.039405,           0.0094932,             0.74543,             0.19615,             0.23723,             0.15549,            0.077982,            0.034592,            0.013851,            0.007624,            0.007624,            0.007624
                  74,             0.04598,            0.037193,            0.008968,             0.67682,                0.22,             0.20996,              0.1435,            0.079889,            0.032639,            0.013863,            0.007591,            0.007591,            0.007591
                  75,            0.043939,            0.034516,           0.0080114,             0.65991,             0.23333,             0.20424,             0.12998,            0.088694,            0.029922,            0.012774,            0.007558,            0.007558,            0.007558
                  76,             0.05091,            0.038162,           0.0088898,             0.60671,             0.22889,             0.19722,             0.13175,            0.080797,            0.032429,            0.012935,            0.007525,            0.007525,            0.007525
                  77,            0.048099,             0.02801,            0.010701,             0.76492,             0.19333,             0.20228,             0.12933,            0.080665,            0.032204,            0.013506,            0.007492,            0.007492,            0.007492
                  78,            0.046252,            0.031197,           0.0096176,              0.7528,             0.19333,             0.18794,             0.12201,            0.079752,             0.03302,             0.01338,            0.007459,            0.007459,            0.007459
                  79,            0.047857,            0.031968,             0.01018,             0.74047,             0.15167,             0.18873,               0.125,            0.087156,            0.030853,            0.013891,            0.007426,            0.007426,            0.007426
                  80,            0.048033,             0.03344,           0.0090814,             0.63751,                0.22,              0.2179,             0.14409,            0.079255,            0.033188,            0.013455,            0.007393,            0.007393,            0.007393
                  81,            0.046008,            0.032693,           0.0076978,             0.72027,             0.22889,             0.24113,             0.15491,            0.073403,            0.033279,            0.012528,             0.00736,             0.00736,             0.00736
                  82,            0.043406,             0.03062,           0.0083011,             0.77592,             0.22806,             0.23675,             0.16117,            0.072561,             0.03347,            0.012675,            0.007327,            0.007327,            0.007327
                  83,            0.042591,            0.031382,           0.0059837,             0.72409,             0.23778,             0.25434,             0.14552,            0.072264,            0.033562,            0.012922,            0.007294,            0.007294,            0.007294
                  84,            0.046388,            0.034138,           0.0083816,             0.72625,             0.22815,             0.23856,             0.12992,            0.077888,            0.032738,            0.013162,            0.007261,            0.007261,            0.007261
                  85,            0.047524,            0.032395,           0.0086569,             0.80186,             0.21556,             0.24946,             0.14606,            0.077221,            0.034515,            0.013628,            0.007228,            0.007228,            0.007228
                  86,            0.044171,            0.028131,           0.0069592,             0.79517,             0.21547,             0.24515,              0.1429,            0.081853,            0.033989,            0.014182,            0.007195,            0.007195,            0.007195
                  87,            0.042197,            0.033132,           0.0092306,             0.88906,             0.19333,              0.2536,             0.13721,            0.090893,            0.031464,            0.015269,            0.007162,            0.007162,            0.007162
                  88,            0.048337,            0.034466,           0.0083878,             0.82467,             0.20667,             0.24388,             0.12393,            0.085875,            0.033527,            0.013781,            0.007129,            0.007129,            0.007129
                  89,            0.051295,            0.030095,           0.0063164,             0.86395,             0.20253,             0.24976,             0.16426,            0.087896,            0.033062,            0.013976,            0.007096,            0.007096,            0.007096
                  90,            0.046665,            0.034395,           0.0087488,             0.84447,             0.21074,             0.23389,             0.12738,            0.088645,             0.03339,            0.014323,            0.007063,            0.007063,            0.007063
                  91,            0.043748,            0.035056,           0.0078768,             0.70514,              0.2186,             0.22415,             0.14131,            0.091353,            0.031448,            0.014841,             0.00703,             0.00703,             0.00703
                  92,            0.047302,              0.0308,           0.0071327,             0.63699,             0.22444,              0.2193,             0.14051,            0.086926,             0.03194,            0.014339,            0.006997,            0.006997,            0.006997
                  93,            0.048563,            0.029197,           0.0085441,             0.86602,             0.20121,             0.23298,             0.14469,            0.086738,            0.033997,            0.014683,            0.006964,            0.006964,            0.006964
                  94,            0.042781,            0.030313,           0.0077696,             0.90961,             0.20233,             0.24026,             0.17109,            0.083181,             0.03524,            0.014534,            0.006931,            0.006931,            0.006931
                  95,            0.044726,             0.02995,           0.0071716,             0.68866,             0.21111,             0.22216,             0.13784,            0.084078,            0.033455,            0.014642,            0.006898,            0.006898,            0.006898
                  96,            0.046264,            0.030577,           0.0090049,             0.69021,             0.22444,             0.22493,             0.11908,            0.081559,            0.033615,            0.014243,            0.006865,            0.006865,            0.006865
                  97,            0.047642,            0.036581,           0.0075781,             0.87753,             0.19909,             0.24508,             0.14319,            0.077527,             0.03392,             0.01428,            0.006832,            0.006832,            0.006832
                  98,            0.042415,            0.030165,           0.0078469,             0.71319,             0.22444,             0.23329,             0.14853,            0.078088,            0.034111,            0.015736,            0.006799,            0.006799,            0.006799
                  99,            0.042971,            0.030523,           0.0076421,             0.68527,             0.23827,             0.23766,             0.10958,            0.079632,            0.035423,            0.017777,            0.006766,            0.006766,            0.006766
                 100,             0.05264,            0.032579,           0.0071237,             0.81513,             0.20222,             0.23394,             0.13581,              0.0812,            0.035057,            0.017294,            0.006733,            0.006733,            0.006733
                 101,            0.044138,            0.035189,           0.0064731,             0.87167,             0.20667,             0.22392,             0.12718,            0.089075,            0.033459,            0.017404,              0.0067,              0.0067,              0.0067
                 102,            0.046223,            0.032321,           0.0074598,              0.8328,             0.20667,              0.2109,             0.11751,             0.10143,            0.030457,            0.021867,            0.006667,            0.006667,            0.006667
                 103,            0.038828,            0.029743,           0.0069338,             0.88471,             0.21556,               0.224,             0.12918,            0.089596,            0.033661,            0.018159,            0.006634,            0.006634,            0.006634
                 104,            0.042838,            0.030761,           0.0093209,             0.34472,             0.22866,             0.22125,             0.12307,            0.079148,            0.034279,            0.014507,            0.006601,            0.006601,            0.006601
                 105,            0.042818,            0.026933,           0.0071658,             0.71454,             0.23333,             0.23003,             0.14832,            0.073884,             0.03582,            0.014017,            0.006568,            0.006568,            0.006568
                 106,            0.041701,            0.027722,            0.007471,             0.66144,                0.22,             0.22897,             0.16019,            0.074481,            0.035423,            0.013466,            0.006535,            0.006535,            0.006535
                 107,            0.042047,            0.032114,           0.0064993,             0.83811,             0.20222,             0.23593,             0.14478,            0.077061,             0.03437,            0.016413,            0.006502,            0.006502,            0.006502
                 108,            0.043279,            0.032379,           0.0045924,              0.7905,             0.20294,             0.22052,             0.12086,            0.081148,            0.033813,            0.015899,            0.006469,            0.006469,            0.006469
                 109,            0.043868,            0.030749,           0.0059266,             0.79759,             0.19778,             0.21355,             0.12194,            0.084366,            0.033455,            0.015605,            0.006436,            0.006436,            0.006436
                 110,            0.042858,            0.027915,           0.0072811,              0.7886,             0.20222,             0.22499,             0.14214,            0.080809,            0.033775,            0.014377,            0.006403,            0.006403,            0.006403
                 111,            0.040999,            0.023046,           0.0072568,             0.83281,             0.20222,             0.23074,             0.14963,            0.081271,            0.033615,            0.013954,             0.00637,             0.00637,             0.00637
                 112,            0.045301,            0.032933,           0.0075042,             0.90327,             0.19817,             0.23195,             0.13447,            0.084168,            0.034996,            0.015763,            0.006337,            0.006337,            0.006337
                 113,            0.042705,               0.027,           0.0084617,             0.77006,             0.19778,             0.21105,             0.14654,            0.094261,             0.03265,             0.01883,            0.006304,            0.006304,            0.006304
                 114,            0.039823,            0.026244,           0.0053826,             0.89242,             0.20222,             0.21931,             0.15567,            0.090125,            0.032719,            0.016711,            0.006271,            0.006271,            0.006271
                 115,            0.040981,            0.027523,           0.0085533,             0.43736,             0.20667,             0.21059,             0.14192,             0.09094,             0.03331,            0.017546,            0.006238,            0.006238,            0.006238
                 116,            0.042274,            0.025936,           0.0062091,             0.51379,             0.20667,             0.21845,             0.13143,            0.087072,            0.034454,            0.015376,            0.006205,            0.006205,            0.006205
                 117,            0.041175,            0.027931,           0.0072127,             0.46006,             0.21605,             0.23358,             0.16411,            0.083547,            0.035027,            0.015422,            0.006172,            0.006172,            0.006172
                 118,            0.040117,            0.026682,           0.0070241,              0.2887,             0.22497,             0.21924,             0.15256,            0.086255,            0.034645,            0.015557,            0.006139,            0.006139,            0.006139
                 119,            0.039178,            0.031217,           0.0059407,             0.45371,             0.20779,             0.22631,             0.14424,            0.088694,            0.034695,            0.017661,            0.006106,            0.006106,            0.006106
