               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11541,            0.038563,            0.040972,           0.0012168,             0.15341,           0.0015775,          0.00050482,             0.11236,            0.026638,            0.041391,              0.0964,              0.0004,              0.0004
                   1,             0.11028,            0.035268,            0.039976,            0.002709,             0.31932,           0.0080108,           0.0019203,             0.10595,            0.023167,            0.040695,            0.091891,          0.00089109,          0.00089109
                   2,             0.10686,            0.034325,            0.038968,           0.0026196,             0.31932,            0.013523,           0.0034414,             0.10677,            0.020809,            0.039963,            0.087372,           0.0013723,           0.0013723
                   3,            0.095035,            0.031937,            0.040109,           0.0031176,             0.37992,            0.012515,           0.0043428,             0.10175,            0.020832,            0.040649,            0.082844,           0.0018436,           0.0018436
                   4,            0.093449,            0.034799,            0.037291,           0.0031926,             0.40076,             0.01441,           0.0038473,            0.097633,            0.020357,            0.039276,            0.078305,            0.002305,            0.002305
                   5,            0.091193,            0.032486,            0.036329,            0.003358,             0.42159,            0.035859,            0.013194,            0.094774,            0.019829,            0.037857,            0.073756,           0.0027564,           0.0027564
                   6,            0.087309,            0.032837,            0.035838,           0.0035206,             0.45189,            0.020721,           0.0072392,            0.093778,            0.019405,            0.037729,            0.069198,            0.003198,            0.003198
                   7,            0.078391,            0.030578,            0.029883,             0.40864,            0.044307,            0.048891,            0.017516,            0.093926,            0.018991,            0.036667,             0.06463,           0.0036297,           0.0036297
                   8,             0.08044,            0.032513,            0.029636,             0.71353,            0.045455,            0.093261,            0.031429,            0.095689,            0.017981,            0.038699,            0.060052,           0.0040515,           0.0040515
                   9,            0.074984,            0.030641,            0.030772,             0.49747,             0.11297,            0.073431,            0.027069,             0.09075,            0.018875,            0.038123,            0.055463,           0.0044634,           0.0044634
                  10,            0.070843,            0.030944,             0.02762,             0.82627,            0.075758,            0.091498,            0.044666,            0.090028,            0.019133,            0.037555,            0.050865,           0.0048654,           0.0048654
                  11,            0.076294,            0.030067,             0.02691,             0.38732,             0.12121,            0.059443,            0.028308,            0.088343,            0.018789,            0.037463,            0.046257,           0.0052575,           0.0052575
                  12,             0.07762,            0.030886,            0.027168,              0.7888,            0.045455,            0.064805,            0.024397,            0.091123,            0.018183,            0.038406,             0.04164,           0.0056397,           0.0056397
                  13,             0.07848,            0.028362,            0.027233,             0.46685,             0.19508,             0.08668,            0.023931,            0.089809,             0.01783,            0.036493,            0.037012,            0.006012,            0.006012
                  14,            0.072388,            0.026332,            0.026698,              0.3789,            0.075758,            0.057337,            0.021285,            0.090881,            0.017307,            0.036832,            0.032374,           0.0063744,           0.0063744
                  15,            0.073707,            0.031076,            0.025565,             0.42855,              0.1206,            0.083173,            0.035745,            0.089007,            0.017776,             0.03588,            0.027727,           0.0067268,           0.0067268
                  16,            0.058205,            0.025581,             0.02569,              0.4212,             0.13636,             0.10096,            0.047669,            0.083752,            0.018478,             0.03512,            0.023069,           0.0070694,           0.0070694
                  17,              0.0665,            0.029643,            0.024203,             0.69483,             0.12689,             0.12896,            0.050709,            0.082931,             0.01886,            0.035001,            0.018402,           0.0074021,           0.0074021
                  18,            0.067748,            0.030728,            0.025805,             0.49079,             0.12121,             0.11644,            0.061678,             0.08453,            0.018646,            0.034634,            0.013725,           0.0077249,           0.0077249
                  19,            0.062856,            0.025742,            0.025167,             0.81406,            0.090909,             0.10804,            0.048817,            0.085996,            0.018021,            0.033975,           0.0090378,           0.0080378,           0.0080378
                  20,            0.069326,            0.023569,            0.021979,              0.8058,             0.12121,             0.12859,             0.04177,            0.081917,             0.01936,            0.035898,             0.00802,             0.00802,             0.00802
                  21,            0.066897,            0.025464,            0.021764,             0.63245,             0.14205,             0.15312,            0.051276,            0.080655,            0.019627,            0.036337,             0.00802,             0.00802,             0.00802
                  22,            0.064848,            0.027814,            0.020029,             0.49336,             0.14205,             0.11117,             0.03078,            0.083935,            0.019508,            0.034671,            0.007921,            0.007921,            0.007921
                  23,            0.066152,            0.027385,            0.016739,             0.79749,            0.090909,             0.10526,            0.031407,            0.085205,             0.01997,             0.03685,            0.007822,            0.007822,            0.007822
                  24,            0.057237,            0.023039,             0.01764,             0.47426,             0.13905,             0.11466,            0.030415,            0.087165,            0.020088,            0.037408,            0.007723,            0.007723,            0.007723
                  25,            0.057371,            0.026728,            0.017668,             0.97283,            0.090909,             0.15575,            0.046579,            0.083853,            0.020866,            0.039111,            0.007624,            0.007624,            0.007624
