               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039295,            0.045665,           0.0075698,             0.85803,             0.86155,             0.91355,             0.62396,            0.034527,            0.024281,            0.003132,            0.006535,            0.006535,            0.006535
                  37,            0.037834,            0.043883,           0.0074629,             0.87945,             0.84985,             0.91388,             0.62485,            0.037064,            0.024487,           0.0031105,            0.006436,            0.006436,            0.006436
                  38,            0.040579,             0.04362,           0.0069419,             0.86765,             0.85988,              0.9189,             0.62181,            0.036014,            0.024059,            0.003075,            0.006337,            0.006337,            0.006337
                  39,            0.039646,            0.047575,           0.0070662,              0.8713,             0.86432,             0.91656,             0.63822,            0.035392,            0.023583,           0.0030299,            0.006238,            0.006238,            0.006238
                  40,             0.03795,             0.04241,            0.006723,             0.86664,             0.86589,             0.92014,             0.65274,            0.033506,            0.023376,           0.0030401,            0.006139,            0.006139,            0.006139
                  41,             0.03723,            0.041852,           0.0075046,             0.89938,             0.85725,             0.92259,             0.65186,            0.033318,             0.02314,           0.0029739,             0.00604,             0.00604,             0.00604
                  42,            0.035266,            0.039617,           0.0076098,             0.87242,             0.85312,             0.91509,             0.64583,            0.034035,            0.023114,           0.0029191,            0.005941,            0.005941,            0.005941
                  43,            0.037284,            0.039702,           0.0068898,             0.87906,             0.85629,             0.92032,             0.64141,            0.033653,            0.022904,           0.0028872,            0.005842,            0.005842,            0.005842
                  44,            0.037643,            0.041212,           0.0063166,             0.89352,             0.85401,             0.91975,             0.65028,            0.032706,            0.022732,           0.0028415,            0.005743,            0.005743,            0.005743
                  45,            0.037716,            0.042617,           0.0062329,             0.88694,             0.86146,             0.92363,             0.65831,             0.03301,            0.023083,           0.0028322,            0.005644,            0.005644,            0.005644
                  46,            0.036245,            0.040871,           0.0074861,             0.88475,             0.87103,             0.92659,             0.65826,            0.032826,            0.022803,           0.0027961,            0.005545,            0.005545,            0.005545
                  47,            0.037043,            0.041508,           0.0073653,             0.87389,             0.88982,             0.93118,             0.67504,            0.031392,            0.022499,           0.0027981,            0.005446,            0.005446,            0.005446
                  48,             0.03699,            0.041398,            0.006778,             0.87644,             0.87726,             0.93002,             0.66752,            0.032434,            0.022515,           0.0028114,            0.005347,            0.005347,            0.005347
                  49,            0.036844,            0.043165,           0.0060293,             0.91067,             0.86416,             0.93426,             0.67857,             0.03192,            0.022382,           0.0027488,            0.005248,            0.005248,            0.005248
                  50,            0.036548,            0.042328,           0.0062784,             0.89792,             0.87843,             0.93357,             0.68168,            0.032301,            0.022663,           0.0026774,            0.005149,            0.005149,            0.005149
                  51,            0.035578,            0.037416,           0.0066664,             0.89306,             0.88598,             0.93632,              0.6809,            0.031433,            0.022489,           0.0026531,             0.00505,             0.00505,             0.00505
                  52,            0.034931,            0.041243,           0.0055016,             0.91214,             0.86238,               0.935,             0.66679,            0.031333,            0.022173,           0.0026318,            0.004951,            0.004951,            0.004951
                  53,            0.037593,            0.040875,           0.0065148,             0.90962,             0.86096,              0.9266,              0.6525,            0.032386,            0.022396,           0.0025846,            0.004852,            0.004852,            0.004852
                  54,            0.037256,            0.037524,           0.0063961,             0.93154,             0.85313,             0.92976,             0.66762,            0.031265,            0.022198,            0.002539,            0.004753,            0.004753,            0.004753
                  55,            0.034977,            0.040964,           0.0059208,              0.9178,             0.86755,             0.93291,             0.67337,            0.031843,            0.022145,           0.0025357,            0.004654,            0.004654,            0.004654
                  56,            0.035389,            0.038662,           0.0064444,             0.92074,             0.86589,             0.92997,             0.65991,             0.03245,            0.022104,           0.0025319,            0.004555,            0.004555,            0.004555
                  57,             0.03554,            0.042173,           0.0060512,             0.90588,             0.87207,             0.93192,             0.68755,            0.030577,            0.021726,           0.0025401,            0.004456,            0.004456,            0.004456
                  58,            0.033728,            0.036545,           0.0059873,             0.93005,             0.86426,             0.93053,             0.68469,            0.030757,            0.021553,           0.0025214,            0.004357,            0.004357,            0.004357
                  59,            0.034295,            0.037459,           0.0053659,             0.92701,             0.87016,             0.93896,             0.69339,            0.029653,            0.021502,           0.0024754,            0.004258,            0.004258,            0.004258
                  60,            0.035285,            0.043968,           0.0063224,              0.9163,             0.87259,             0.93052,             0.68941,            0.029481,            0.021266,           0.0024682,            0.004159,            0.004159,            0.004159
                  61,            0.034179,            0.038105,           0.0057691,             0.90857,             0.89126,             0.93684,             0.69491,            0.029491,            0.021142,           0.0024431,             0.00406,             0.00406,             0.00406
                  62,            0.035686,            0.038647,             0.00651,             0.91523,             0.88791,             0.93313,             0.69977,            0.029538,            0.021004,           0.0024163,            0.003961,            0.003961,            0.003961
                  63,            0.033863,            0.034884,           0.0054617,             0.90959,             0.88797,             0.93494,             0.70195,            0.029231,            0.020802,           0.0023901,            0.003862,            0.003862,            0.003862
                  64,            0.036059,            0.038854,           0.0058532,             0.91982,              0.8883,              0.9417,             0.70243,            0.028834,            0.020814,           0.0023319,            0.003763,            0.003763,            0.003763
                  65,            0.032135,            0.037777,           0.0052399,             0.92615,             0.88334,             0.94047,             0.70442,            0.029278,            0.020741,           0.0022814,            0.003664,            0.003664,            0.003664
                  66,            0.034464,            0.041128,           0.0052612,             0.92791,             0.88494,             0.94236,             0.70295,            0.028275,            0.020437,            0.002279,            0.003565,            0.003565,            0.003565
                  67,            0.033005,            0.040197,           0.0049385,             0.92385,             0.88591,             0.94229,             0.69673,            0.028576,            0.020253,           0.0022839,            0.003466,            0.003466,            0.003466
                  68,            0.033105,            0.036036,           0.0052382,               0.904,             0.89398,             0.94303,             0.70658,            0.028394,            0.020411,           0.0022844,            0.003367,            0.003367,            0.003367
                  69,            0.032707,            0.040361,           0.0049003,             0.90153,              0.8894,             0.93683,             0.71048,             0.02807,            0.020312,           0.0022431,            0.003268,            0.003268,            0.003268
                  70,            0.032821,            0.040792,           0.0056724,             0.89019,             0.90167,             0.94203,             0.71243,            0.027978,            0.020206,           0.0022287,            0.003169,            0.003169,            0.003169
                  71,            0.032558,            0.040941,           0.0047697,             0.90728,             0.88737,             0.93977,             0.71746,            0.027606,            0.019988,           0.0022197,             0.00307,             0.00307,             0.00307
                  72,            0.033534,            0.041788,           0.0049896,             0.90783,             0.88892,              0.9426,             0.72876,            0.027202,            0.019933,            0.002206,            0.002971,            0.002971,            0.002971
                  73,            0.032855,            0.038998,            0.005723,             0.93105,             0.87813,             0.94333,             0.72779,            0.027123,            0.019898,           0.0021651,            0.002872,            0.002872,            0.002872
                  74,            0.031962,            0.037865,           0.0054437,             0.92909,             0.88418,             0.94323,             0.72152,            0.027369,            0.019767,           0.0021341,            0.002773,            0.002773,            0.002773
                  75,            0.031472,            0.042951,           0.0052022,             0.92884,             0.88605,             0.94227,             0.72919,            0.026892,            0.019559,           0.0021057,            0.002674,            0.002674,            0.002674
                  76,            0.031131,            0.037599,           0.0050812,             0.92912,             0.88526,             0.94501,             0.73273,            0.026659,            0.019399,           0.0020907,            0.002575,            0.002575,            0.002575
                  77,            0.031728,            0.038749,           0.0052624,             0.94117,              0.8796,             0.94664,             0.73518,            0.026571,             0.01934,           0.0020685,            0.002476,            0.002476,            0.002476
                  78,            0.030008,            0.036053,           0.0051434,             0.93827,             0.88168,             0.94862,             0.74267,            0.026189,            0.019283,           0.0020651,            0.002377,            0.002377,            0.002377
                  79,            0.031356,            0.032094,           0.0050657,             0.93866,             0.87975,             0.94495,             0.74802,            0.026303,            0.019293,           0.0020589,            0.002278,            0.002278,            0.002278
                  80,            0.028146,            0.033647,           0.0047755,             0.93484,             0.87953,             0.94629,             0.74912,            0.026194,            0.019254,           0.0020352,            0.002179,            0.002179,            0.002179
                  81,            0.030531,             0.03644,            0.004822,             0.92967,             0.88427,             0.94439,             0.73921,               0.027,            0.019211,           0.0020272,             0.00208,             0.00208,             0.00208
                  82,            0.031888,            0.037721,           0.0047793,             0.92433,              0.8911,             0.94789,             0.74988,            0.026025,            0.019059,           0.0020144,            0.001981,            0.001981,            0.001981
                  83,            0.029702,            0.038031,           0.0048591,             0.92793,             0.89333,              0.9522,             0.75275,             0.02641,            0.019002,           0.0020003,            0.001882,            0.001882,            0.001882
                  84,            0.029877,            0.037734,           0.0049452,             0.93815,             0.88269,             0.94901,             0.74318,             0.02658,            0.019061,           0.0019886,            0.001783,            0.001783,            0.001783
                  85,            0.029936,            0.034184,           0.0047921,             0.94049,             0.88357,             0.94912,             0.75288,            0.025766,            0.018845,           0.0019794,            0.001684,            0.001684,            0.001684
                  86,            0.030324,            0.035437,           0.0050091,             0.94673,             0.88123,              0.9484,               0.753,            0.025461,            0.018791,           0.0019618,            0.001585,            0.001585,            0.001585
                  87,             0.02994,            0.039409,            0.004805,             0.94454,             0.88062,             0.94881,             0.75446,            0.025186,             0.01879,           0.0019367,            0.001486,            0.001486,            0.001486
                  88,            0.030728,            0.035992,           0.0047052,             0.93962,              0.8813,             0.95547,             0.76639,             0.02499,            0.018623,           0.0019196,            0.001387,            0.001387,            0.001387
                  89,            0.030191,            0.038061,           0.0047115,             0.93428,             0.88369,             0.95869,              0.7665,            0.024816,            0.018501,           0.0019038,            0.001288,            0.001288,            0.001288
                  90,            0.032014,            0.035012,           0.0047288,             0.93892,             0.88071,             0.95755,              0.7673,            0.024752,            0.018409,           0.0018906,            0.001189,            0.001189,            0.001189
                  91,            0.029518,            0.038238,           0.0047708,             0.94162,             0.87966,             0.95791,             0.77343,            0.024547,            0.018356,           0.0018757,             0.00109,             0.00109,             0.00109
                  92,            0.030598,            0.037362,           0.0040646,             0.94404,             0.88117,             0.95656,               0.768,            0.024458,            0.018313,           0.0018654,            0.000991,            0.000991,            0.000991
                  93,            0.029001,            0.034629,           0.0043986,             0.94574,             0.88177,             0.95624,             0.77876,            0.024278,            0.018241,           0.0018578,            0.000892,            0.000892,            0.000892
                  94,            0.028071,            0.031403,           0.0041684,             0.94562,              0.8827,             0.95839,             0.77898,            0.024373,            0.018251,           0.0018485,            0.000793,            0.000793,            0.000793
                  95,             0.02904,             0.03194,           0.0046738,             0.94562,              0.8833,              0.9583,             0.78461,            0.024174,            0.018171,           0.0018433,            0.000694,            0.000694,            0.000694
                  96,             0.02836,            0.034191,           0.0047832,             0.94729,               0.885,             0.95901,             0.78491,            0.024196,            0.018152,           0.0018378,            0.000595,            0.000595,            0.000595
                  97,            0.030536,            0.034385,           0.0047627,             0.94431,             0.88258,             0.95894,             0.78941,            0.023992,            0.018081,           0.0018345,            0.000496,            0.000496,            0.000496
                  98,            0.029131,            0.035291,           0.0045323,             0.94542,             0.88453,             0.95856,             0.78819,            0.023906,             0.01804,           0.0018336,            0.000397,            0.000397,            0.000397
                  99,             0.02872,            0.035158,           0.0042484,             0.94516,             0.88782,             0.95954,             0.78819,            0.023946,            0.018002,           0.0018371,            0.000298,            0.000298,            0.000298
