               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.062082,            0.022216,            0.016709,             0.55385,              0.2729,             0.14232,            0.061892,            0.085236,            0.018471,            0.033966,            0.008845,            0.008845,            0.008845
                  37,            0.063727,            0.021951,            0.013614,             0.68955,             0.21402,             0.20324,            0.073705,             0.08063,            0.019348,            0.033073,            0.008812,            0.008812,            0.008812
                  38,            0.048061,            0.021296,            0.016859,             0.70061,             0.28598,             0.28403,             0.12095,            0.079463,            0.018501,            0.036447,            0.008779,            0.008779,            0.008779
                  39,            0.056126,            0.024758,            0.017885,             0.62081,             0.25568,             0.24733,             0.11416,            0.078397,            0.018963,             0.03598,            0.008746,            0.008746,            0.008746
                  40,            0.060558,            0.026439,            0.011154,              0.6856,             0.27083,             0.28242,             0.13583,            0.076463,            0.018909,            0.036108,            0.008713,            0.008713,            0.008713
                  41,            0.057069,            0.025683,            0.013014,              0.7449,             0.25947,             0.26661,             0.11111,            0.078441,            0.018494,            0.035532,             0.00868,             0.00868,             0.00868
                  42,              0.0546,            0.022812,            0.013343,             0.71415,             0.28282,             0.29101,             0.12681,            0.075425,            0.018921,            0.034621,            0.008647,            0.008647,            0.008647
                  43,            0.050593,            0.022346,            0.011449,             0.67982,             0.29338,             0.32259,             0.14427,            0.078736,            0.017834,            0.033728,            0.008614,            0.008614,            0.008614
                  44,            0.052692,            0.024123,             0.01103,             0.55882,             0.29106,             0.32617,             0.14532,            0.077924,            0.017937,            0.033032,            0.008581,            0.008581,            0.008581
                  45,            0.055213,            0.022752,            0.011733,             0.64649,             0.33712,              0.3322,             0.14373,            0.080123,            0.017761,            0.034341,            0.008548,            0.008548,            0.008548
                  46,            0.057198,            0.025788,            0.010644,             0.68257,             0.33712,             0.34364,              0.1421,            0.079487,            0.017765,            0.033755,            0.008515,            0.008515,            0.008515
                  47,            0.057785,            0.027003,            0.011016,             0.58086,             0.25947,             0.26282,               0.118,            0.084717,            0.017071,            0.032863,            0.008482,            0.008482,            0.008482
